@relation DatosTest

@attribute característica_1 real
@attribute característica_2 real
@attribute hipótesis {-1, 1}



@data
2.60796,5.93332,1
1.72227,6.31282,1
0.39155,4.61312,1
1.88624,5.86790,1
0.72899,4.84439,1
3.43337,6.44354,1
1.49584,5.44237,1
2.54483,7.55926,1
1.06565,5.12785,1
2.04610,6.07227,1
1.67260,5.20827,1
-0.40845,3.57206,1
0.49479,4.64174,1
1.94624,6.21591,1
1.56582,5.33004,1
0.51345,4.36390,1
0.26582,5.54571,1
2.45087,5.02256,1
-0.14707,5.26295,1
2.31817,6.53167,1
0.57592,5.20842,1
3.74229,6.68978,1
0.66213,4.28896,1
1.77690,5.60104,1
-0.07665,4.19070,1
1.34167,4.28534,1
0.78805,5.08634,1
2.26428,5.49721,1
2.37286,6.41472,1
1.57877,5.99136,1
1.04265,5.24950,1
1.93128,6.61600,1
1.93974,6.57604,1
1.81987,5.40820,1
1.96064,6.12322,1
2.19025,5.59297,1
0.98167,4.14570,1
1.92813,6.51305,1
0.87651,4.87654,1
0.94444,4.90971,1
1.37974,5.95599,1
1.02025,5.39630,1
1.26420,5.48569,1
1.66944,6.46017,1
2.19909,6.78714,1
1.23638,5.38802,1
2.02917,5.59255,1
1.47997,5.06789,1
1.34084,6.09479,1
2.42712,5.40771,1
0.92253,4.90705,1
2.37701,5.14445,1
1.74755,6.39297,1
1.31507,5.86007,1
3.14070,7.14144,1
0.94507,4.90027,1
1.58700,4.01453,1
-0.34386,4.02370,1
3.05707,5.67045,1
3.05601,5.58917,1
1.39893,5.44948,1
2.65231,6.05243,1
1.54415,5.80440,1
1.56179,5.98995,1
1.33591,5.87839,1
2.13594,5.69881,1
1.45434,5.73855,1
4.11248,8.17612,1
0.13198,4.65443,1
-0.42869,3.91041,1
0.13392,4.70179,1
0.50449,4.42104,1
1.13519,5.04209,1
1.02149,5.65886,1
1.96424,4.62112,1
2.17312,5.85399,1
2.27109,5.46749,1
2.33366,6.09169,1
2.98187,7.39213,1
