@relation DatosTrain

@attribute característica_1 real
@attribute característica_2 real
@attribute hipótesis {-1, 1}


@data
0.89154,5.35306,1
2.04057,5.44598,1
1.79073,5.62674,1
0.26014,3.49263,1
-0.15761,4.86985,1
-0.30005,3.93618,1
1.51057,5.35189,1
0.15986,3.57455,1
2.13466,6.19706,1
0.01351,5.07875,1
0.36331,4.53740,1
3.08695,7.31039,1
3.93101,7.17183,1
0.67023,4.77530,1
1.21941,5.71030,1
3.79912,6.92542,1
0.63067,5.34425,1
2.34973,7.90901,1
2.77040,5.78508,1
2.20620,4.89914,1
1.18795,5.14204,1
2.86621,7.34631,1
2.20039,6.14874,1
0.94982,4.84959,1
1.87052,5.87463,1
1.00375,4.33043,1
2.16115,5.12145,1
2.45314,7.45340,1
1.91202,6.09709,1
1.15487,4.40376,1
1.48989,6.17037,1
1.24827,4.42774,1
3.45420,7.37718,1
-0.43591,4.03260,1
1.14019,4.60848,1
2.34238,6.12135,1
0.71239,4.73113,1
0.89958,6.13436,1
1.97579,6.26610,1
2.81943,6.56688,1
0.69177,4.54922,1
1.42747,5.25021,1
0.63931,5.46575,1
1.48156,5.30170,1
2.10089,5.60017,1
0.83704,4.98922,1
2.28899,6.22913,1
1.65396,6.15564,1
0.74851,5.35531,1
1.41802,6.10556,1
2.22907,6.63837,1
2.24211,6.64217,1
1.53205,6.73579,1
1.80517,5.07150,1
1.02155,4.80189,1
2.24863,5.17658,1
0.76705,5.34852,1
1.17815,5.19176,1
2.47202,6.28270,1
3.41700,6.32854,1
2.00725,6.12326,1
3.53004,7.36577,1
0.47765,3.62080,1
1.88754,5.15551,1
1.83136,5.34943,1
3.11083,6.95252,1
2.49693,5.45416,1
1.25033,5.13523,1
1.83108,6.22047,1
2.22859,5.99036,1
1.89399,5.45252,1
-0.51960,3.67274,1
2.12239,6.81877,1
-1.67114,2.04640,1
1.75146,5.45628,1
0.48232,3.57423,1
1.47229,4.85393,1
2.63519,7.01839,1
1.04882,4.97693,1
3.07702,7.56057,1
2.02662,6.45031,1
1.14736,5.38503,1
0.40040,4.88527,1
0.54778,5.51131,1
1.67287,6.03768,1
-0.88359,3.38582,1
2.09708,6.06992,1
2.15796,5.37229,1
2.43652,6.11716,1
3.33939,7.54548,1
1.54433,4.84141,1
0.42172,4.71783,1
2.51708,6.72112,1
2.31705,6.38031,1
1.26908,5.45973,1
0.92945,4.94452,1
1.74312,5.72917,1
0.43096,4.42542,1
1.26878,5.85662,1
0.92341,4.86621,1
1.55794,3.88753,1
2.57202,6.26455,1
1.46682,5.59076,1
2.47827,7.08525,1
0.03288,4.90587,1
2.02565,5.43022,1
0.26690,4.74811,1
2.01173,6.16220,1
