@relation DatosTrainPeq

@attribute característica_1 real
@attribute característica_2 real
@attribute hipótesis {-1, 1}


@data
1.96701,6.30706,1
-0.22545,4.93440,1
2.89474,5.46612,1
2.77393,7.31922,1
1.86300,6.06461,1
2.89512,6.06807,1
2.32670,6.05247,1
1.10378,5.32048,1
0.64720,6.91038,1
-0.12265,5.62889,1
2.76968,5.91593,1
-0.54793,5.37152,1
0.25659,4.71537,1
0.75198,4.71210,1
-1.51921,2.93283,1
2.92938,6.79975,1
1.84776,5.76924,1
0.31273,5.25490,1
2.35440,7.24556,1
-0.57184,4.32447,1
1.58265,0.55821,-1
1.49694,1.21683,-1
1.87326,4.53923,-1
1.86851,1.05835,-1
1.16655,3.58433,-1
1.62902,2.16935,-1
1.54349,4.76843,-1
2.11929,0.62093,-1
2.55309,1.78851,-1
2.56949,0.97560,-1
1.16712,11.52830,-1
1.70054,3.30399,-1
1.01446,4.60611,-1
1.05612,1.06726,-1
1.64421,1.52018,-1
3.04363,1.71004,-1
1.21183,3.89251,-1
1.91277,1.70451,-1
1.50647,3.06769,-1
2.57782,0.58796,-1
1.06649,1.62855,-1
1.67033,1.22857,-1
2.05651,0.78174,-1
2.56061,2.73132,-1
3.05777,2.38498,-1
1.70638,2.05461,-1
0.90789,0.90465,-1
1.22517,3.96100,-1
1.07828,2.48459,-1
4.22147,1.68297,-1
1.28886,2.04160,-1
2.22383,1.72082,-1
1.52658,0.70460,-1
2.35242,1.69657,-1
1.21417,1.22284,-1
0.94091,1.11905,-1
0.93337,1.00618,-1
2.00427,1.46209,-1
1.53580,0.60557,-1
1.52437,3.59138,-1
2.90875,2.75120,-1
1.85268,1.98970,-1
1.78448,1.97218,-1
3.11142,1.24745,-1
1.19508,3.71067,-1
2.17853,1.85906,-1
2.30259,1.31164,-1
1.49558,4.53050,-1
1.79727,1.75969,-1
1.03424,1.41423,-1
1.04166,1.68834,-1
1.71936,1.21076,-1
2.20098,1.02832,-1
4.63760,9.16691,-1
1.26269,5.43739,-1
1.77701,2.42182,-1
1.59520,0.94718,-1
0.76093,1.19808,-1
1.38322,1.81136,-1
0.80423,3.23766,-1
2.30747,0.90556,-1
1.15579,0.49762,-1
1.71607,0.84412,-1
1.32603,2.45987,-1
1.86155,2.54674,-1
1.29676,2.64060,-1
2.00569,1.86233,-1
2.21609,2.24839,-1
3.26989,1.51332,-1
1.52554,3.37776,-1
2.54324,-0.19943,1
-0.22086,1.84673,1
2.64659,-0.76819,1
2.07855,-0.46673,1
1.92300,-1.01713,1
2.14536,-1.71767,1
2.13330,0.12554,1
1.23347,-0.72251,1
-0.16622,1.60204,1
1.75497,-0.27324,1
2.55077,-1.19763,1
0.12648,1.96613,1
0.49792,1.55675,1
1.70002,-0.27900,1
2.85291,-1.79846,1
1.56712,-0.78706,1
1.01659,-0.66684,1
1.05686,0.17919,1
1.82416,-0.24280,1
0.83934,0.32723,1
1.06744,0.40586,1
3.06281,-1.15468,1
1.97580,-1.42156,1
2.05022,-0.97395,1
1.90785,-0.64360,1
1.58131,-0.54209,1
1.38152,-0.06781,1
4.64899,-3.28709,1
1.98341,-0.48951,1
0.42648,1.51634,1
